Data do Negócio,Tipo de Movimentação,Mercado,Prazo/Vencimento,Instituição,Código de Negociação,Quantidade,Preço,Valor
17/04/2023,Compra,Mercado à Vista,-,NU INVEST CORRETORA DE VALORES S.A.,JSRE11,2, R$63.45 , R$126.90 
17/04/2023,Compra,Mercado Fracionário,-,NU INVEST CORRETORA DE VALORES S.A.,SAPR4F,11, R$3.78 , R$41.58 
10/04/2023,Compra,Mercado Fracionário,-,NU INVEST CORRETORA DE VALORES S.A.,BBAS3F,8, R$39.42 , R$315.36 
10/04/2023,Compra,Mercado Fracionário,-,NU INVEST CORRETORA DE VALORES S.A.,CMIG4F,16, R$11.81 , R$188.96 
10/04/2023,Compra,Mercado Fracionário,-,NU INVEST CORRETORA DE VALORES S.A.,CPLE6F,2, R$7.13 , R$14.26 
10/04/2023,Compra,Mercado Fracionário,-,NU INVEST CORRETORA DE VALORES S.A.,CXSE3F,3, R$9.24 , R$27.72 
10/04/2023,Compra,Mercado Fracionário,-,NU INVEST CORRETORA DE VALORES S.A.,CXSE3F,40, R$9.24 , R$369.60 
10/04/2023,Compra,Mercado à Vista,-,NU INVEST CORRETORA DE VALORES S.A.,GALG11,62, R$8.18 , R$507.16 
10/04/2023,Compra,Mercado Fracionário,-,NU INVEST CORRETORA DE VALORES S.A.,GGBR4F,15, R$24.70 , R$370.50 
10/04/2023,Compra,Mercado Fracionário,-,NU INVEST CORRETORA DE VALORES S.A.,KEPL3F,1, R$8.63 , R$8.63 
10/04/2023,Compra,Mercado Fracionário,-,NU INVEST CORRETORA DE VALORES S.A.,KEPL3F,20, R$8.65 , R$173.00 
10/04/2023,Compra,Mercado Fracionário,-,NU INVEST CORRETORA DE VALORES S.A.,KEPL3F,1, R$8.64 , R$8.64 
10/04/2023,Compra,Mercado Fracionário,-,NU INVEST CORRETORA DE VALORES S.A.,KEPL3F,31, R$8.61 , R$266.91 
10/04/2023,Compra,Mercado Fracionário,-,NU INVEST CORRETORA DE VALORES S.A.,KEPL3F,17, R$8.62 , R$146.54 
10/04/2023,Compra,Mercado à Vista,-,NU INVEST CORRETORA DE VALORES S.A.,MXRF11,30, R$10.31 , R$309.30 
10/04/2023,Compra,Mercado Fracionário,-,NU INVEST CORRETORA DE VALORES S.A.,TAEE11F,4, R$33.98 , R$135.92 
10/04/2023,Compra,Mercado à Vista,-,NU INVEST CORRETORA DE VALORES S.A.,VCRI11,24, R$7.89 , R$189.36 
10/04/2023,Compra,Mercado à Vista,-,NU INVEST CORRETORA DE VALORES S.A.,XPCM11,13, R$12.54 , R$163.02 
10/04/2023,Compra,Mercado à Vista,-,NU INVEST CORRETORA DE VALORES S.A.,XPCM11,1, R$12.49 , R$12.49 
10/04/2023,Compra,Mercado à Vista,-,NU INVEST CORRETORA DE VALORES S.A.,XPCM11,4, R$12.52 , R$50.08 
05/04/2023,Compra,Mercado Fracionário,-,NU INVEST CORRETORA DE VALORES S.A.,SAPR3F,6, R$3.66 , R$21.96 
04/04/2023,Compra,Mercado à Vista,-,NU INVEST CORRETORA DE VALORES S.A.,GALG11,2, R$8.15 , R$16.30 
27/03/2023,Compra,Mercado à Vista,-,NU INVEST CORRETORA DE VALORES S.A.,MXRF11,4, R$10.35 , R$41.40 
14/03/2023,Compra,Mercado Fracionário,-,NU INVEST CORRETORA DE VALORES S.A.,CMIG4F,21, R$10.67 , R$224.07 
14/03/2023,Compra,Mercado à Vista,-,NU INVEST CORRETORA DE VALORES S.A.,MXRF11,4, R$10.25 , R$41.00 
14/03/2023,Compra,Mercado Fracionário,-,NU INVEST CORRETORA DE VALORES S.A.,SAPR4F,82, R$3.54 , R$290.28 
10/03/2023,Venda,Mercado à Vista,-,NU INVEST CORRETORA DE VALORES S.A.,TSLA34,20, R$28.46 , R$569.20 
09/03/2023,Compra,Mercado Fracionário,-,NU INVEST CORRETORA DE VALORES S.A.,BBAS3F,19, R$39.98 , R$759.62 
09/03/2023,Compra,Mercado Fracionário,-,NU INVEST CORRETORA DE VALORES S.A.,BBAS3F,30, R$39.97 ," R$1,199.10 "
09/03/2023,Compra,Mercado Fracionário,-,NU INVEST CORRETORA DE VALORES S.A.,GGBR4F,15, R$28.43 , R$426.45 
09/03/2023,Compra,Mercado Fracionário,-,NU INVEST CORRETORA DE VALORES S.A.,GGBR4F,53, R$28.45 ," R$1,507.85 "
09/03/2023,Compra,Mercado à Vista,-,NU INVEST CORRETORA DE VALORES S.A.,LGCP11,1, R$74.33 , R$74.33 
09/03/2023,Compra,Mercado à Vista,-,NU INVEST CORRETORA DE VALORES S.A.,LGCP11,41, R$74.40 ," R$3,050.40 "
09/03/2023,Compra,Mercado à Vista,-,NU INVEST CORRETORA DE VALORES S.A.,MRFG3,300, R$7.11 ," R$2,133.00 "
09/03/2023,Compra,Mercado Fracionário,-,NU INVEST CORRETORA DE VALORES S.A.,MRFG3F,2, R$7.12 , R$14.24 
09/03/2023,Compra,Mercado à Vista,-,NU INVEST CORRETORA DE VALORES S.A.,MXRF11,143, R$10.26 ," R$1,467.18 "
09/03/2023,Compra,Mercado à Vista,-,NU INVEST CORRETORA DE VALORES S.A.,OUJP11,17, R$94.06 ," R$1,599.02 "
09/03/2023,Compra,Mercado à Vista,-,NU INVEST CORRETORA DE VALORES S.A.,OUJP11,14, R$94.05 ," R$1,316.70 "
09/03/2023,Compra,Mercado Fracionário,-,NU INVEST CORRETORA DE VALORES S.A.,PETR4F,68, R$25.67 ," R$1,745.56 "
09/03/2023,Compra,Mercado à Vista,-,NU INVEST CORRETORA DE VALORES S.A.,RNGO11,1, R$47.96 , R$47.96 
09/03/2023,Compra,Mercado à Vista,-,NU INVEST CORRETORA DE VALORES S.A.,RNGO11,3, R$48.01 , R$144.03 
09/03/2023,Compra,Mercado à Vista,-,NU INVEST CORRETORA DE VALORES S.A.,RNGO11,2, R$47.97 , R$95.94 
09/03/2023,Compra,Mercado Fracionário,-,NU INVEST CORRETORA DE VALORES S.A.,TAEE11F,32, R$36.27 ," R$1,160.64 "
09/03/2023,Compra,Mercado à Vista,-,NU INVEST CORRETORA DE VALORES S.A.,VCRI11,146, R$8.38 ," R$1,223.48 "
09/03/2023,Compra,Mercado à Vista,-,NU INVEST CORRETORA DE VALORES S.A.,XPCM11,1, R$14.62 , R$14.62 
09/03/2023,Compra,Mercado à Vista,-,NU INVEST CORRETORA DE VALORES S.A.,XPCM11,9, R$14.61 , R$131.49 
09/03/2023,Compra,Mercado à Vista,-,NU INVEST CORRETORA DE VALORES S.A.,XPCM11,110, R$14.90 ," R$1,639.00 "
09/03/2023,Compra,Mercado à Vista,-,NU INVEST CORRETORA DE VALORES S.A.,XPPR11,73, R$26.25 ," R$1,916.25 "
09/03/2023,Compra,Mercado à Vista,-,NU INVEST CORRETORA DE VALORES S.A.,XPPR11,1, R$26.24 , R$26.24 
07/03/2023,Compra,Mercado Fracionário,-,NU INVEST CORRETORA DE VALORES S.A.,BBAS3F,10, R$38.87 , R$388.70 
07/03/2023,Compra,Mercado Fracionário,-,NU INVEST CORRETORA DE VALORES S.A.,CPLE6F,15, R$7.06 , R$105.90 
07/03/2023,Compra,Mercado Fracionário,-,NU INVEST CORRETORA DE VALORES S.A.,CXSE3F,25, R$8.60 , R$215.00 
06/03/2023,Compra,Mercado à Vista,-,NU INVEST CORRETORA DE VALORES S.A.,DEVA11,4, R$83.96 , R$335.84 
06/03/2023,Compra,Mercado à Vista,-,NU INVEST CORRETORA DE VALORES S.A.,MCHF11,10, R$9.00 , R$90.00 
06/03/2023,Compra,Mercado à Vista,-,NU INVEST CORRETORA DE VALORES S.A.,VCRI11,7, R$8.35 , R$58.45 
06/03/2023,Compra,Mercado à Vista,-,NU INVEST CORRETORA DE VALORES S.A.,VCRI11,13, R$8.34 , R$108.42 
02/03/2023,Compra,Mercado Fracionário,-,NU INVEST CORRETORA DE VALORES S.A.,BBAS3F,5, R$38.02 , R$190.10 
02/03/2023,Compra,Mercado Fracionário,-,NU INVEST CORRETORA DE VALORES S.A.,BBAS3F,2, R$38.00 , R$76.00 
02/03/2023,Compra,Mercado à Vista,-,NU INVEST CORRETORA DE VALORES S.A.,MXRF11,28, R$10.20 , R$285.60 
02/03/2023,Compra,Mercado à Vista,-,NU INVEST CORRETORA DE VALORES S.A.,VCRI11,25, R$8.37 , R$209.25 
14/02/2023,Compra,Mercado à Vista,-,NU INVEST CORRETORA DE VALORES S.A.,BOVA11,6, R$105.47 , R$632.82 
14/02/2023,Compra,Mercado à Vista,-,NU INVEST CORRETORA DE VALORES S.A.,BTCI11,90, R$8.75 , R$787.50 
14/02/2023,Compra,Mercado à Vista,-,NU INVEST CORRETORA DE VALORES S.A.,KNCR11,2, R$98.79 , R$197.58 
14/02/2023,Compra,Mercado à Vista,-,NU INVEST CORRETORA DE VALORES S.A.,KNCR11,1, R$98.80 , R$98.80 
14/02/2023,Compra,Mercado à Vista,-,NU INVEST CORRETORA DE VALORES S.A.,MXRF11,7, R$10.11 , R$70.77 
14/02/2023,Compra,Mercado à Vista,-,NU INVEST CORRETORA DE VALORES S.A.,TSLA34,20, R$32.48 , R$649.60 
14/02/2023,Compra,Mercado à Vista,-,NU INVEST CORRETORA DE VALORES S.A.,VGIR11,80, R$9.60 , R$768.00 
13/02/2023,Compra,Mercado à Vista,-,NU INVEST CORRETORA DE VALORES S.A.,MXRF11,18, R$10.08 , R$181.44 
08/02/2023,Compra,Mercado à Vista,-,NU INVEST CORRETORA DE VALORES S.A.,MXRF11,64, R$10.10 , R$646.40 
07/02/2023,Compra,Mercado Fracionário,-,NU INVEST CORRETORA DE VALORES S.A.,KEPL3F,10, R$22.70 , R$227.00 
07/02/2023,Compra,Mercado à Vista,-,NU INVEST CORRETORA DE VALORES S.A.,MXRF11,47, R$10.09 , R$474.23 
06/02/2023,Venda,Mercado Fracionário,-,INTER DISTRIBUIDORA DE TITULOS E VALORES MOBILIARIOS LTDA,AERI3F,15, R$1.34 , R$20.10 
06/02/2023,Venda,Mercado à Vista,-,INTER DISTRIBUIDORA DE TITULOS E VALORES MOBILIARIOS LTDA,NUBR33,150, R$4.23 , R$634.50 
02/02/2023,Compra,Mercado à Vista,-,NU INVEST CORRETORA DE VALORES S.A.,KNCR11,1, R$98.44 , R$98.44 
02/02/2023,Compra,Mercado à Vista,-,NU INVEST CORRETORA DE VALORES S.A.,MXRF11,4, R$10.02 , R$40.08 
02/02/2023,Compra,Mercado à Vista,-,NU INVEST CORRETORA DE VALORES S.A.,MXRF11,30, R$10.02 , R$300.60 
